"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"RM_Insert_sd",-0.0141097802458114,0.019699730914192,0.00601396193119325,-0.00265363664340623,-0.00649322291232375,0.00783690480548543,-0.00909431683243329,-0.0614829230883031,0.0295968232205895,-0.00564024963788331,-0.0344738075201929,0.019699730914192
"RM_Insert_10_percentile",0.0310587214066991,-0.00364623958885115,-0.00364623958885093,-0.0211207687853177,0.000857406973789153,-0.0122426670514709,-0.00386870464270139,-0.0689370842861445,-0.0339133930036092,0.0119959054832727,0.0510266326386414,-0.0102404630857843
"RM_Dis_unmap",0.020598046311687,-0.00942393324495398,0.012351489698226,0.00454604146695337,0.00634124441849279,0.00100802570227051,-0.000473979461094528,0.00100802570227039,-0.00272538618698837,-0.012406531979746,0.0217537090715705,-0.0150328231793549
"RM_Soft",0.0304052250611638,0.00854112653274089,-0.00447521215493048,-0.0170949725832573,0.00968196872850849,-0.0107886223874256,0.00829370286038789,0.0644388827253162,0.045837092462632,-0.0170949725832572,-0.00707700206683967,0.00886265583703255
"R_Insert_90_percentile",0.0268143830275983,-0.158149555258967,-0.0103583833113409,-0.00061667540623231,-0.00805682784527417,-0.0100731728366763,0.02303811164842,-0.011087937712789,-0.0110879377127891,-0.00834340947632514,0.0166331567783685,0.00756363596250033
"R_Soft_sd",0.0265677400464239,-0.0118556829230243,-0.00365029366434101,-0.0176211440887164,0.00933673111638347,0.0136638453786794,0.00913527809103362,0.0319911753647571,0.0312416739096445,-0.0118556829230243,-0.00937089238093292,0.00397078706610986
"SV_Cat",-0.0422479741881308,-0.00316137461595136,0.01095032583782,-0.00316137461595176,0.00683217892731958,0.00552800403688797,-0.000823134256223227,-0.00838000762914256,-0.00838000762914357,0.0175115382178823,-0.0112353147346979,0.0206521070984388
"L_Insert_10_percentile",0.0348531776638858,-0.175847745488281,-0.00206794017132474,-0.00114079338495836,-0.00114079338495826,0.00640796371221563,-0.00802273225237353,-0.257685238452594,0.00640796371221535,0.0188854758181341,-0.00116461215919483,0.00615300533716139
"L_Soft",0.0203341019840353,0.0144049856485503,0.0125334543665726,-0.035919825415355,-0.000218264702470978,0.00537735147195745,0.0144049856485375,0.0203341019840331,0.0296203314360581,-0.01931006164058,-0.00122463953393606,0.0129035531779301
"L_Del_90_percentile",0.00226924268560895,0.0675570320954393,0.0238561575693839,-0.0259876556973269,0.00816195310087606,-0.00550860539573691,0.00760461938572284,0.00226924268565833,0.0385307496831459,0.00226924268560937,-0.0325903095014273,0.00505719017529929
